Q961D1	FBgn0025674
P20193	FBgn0003598
Q24168	FBgn0015270
Q9VCX1	FBgn0020278
Q95RE4	FBgn0022959
Q9VTZ2	FBgn0262524
P22814	FBgn0003300
Q02936	FBgn0004644
P14003	FBgn0001168
Q23977	FBgn0010303
Q9W1Y1	FBgn0034791
Q9U1H0	FBgn0262582
Q960V3	FBgn0262872
P20350	FBgn0004635
P20240	FBgn0266420
Q7PLK0	FBgn0250816
Q9VHG6	FBgn0037669
Q8MSU4	FBgn0037371
Q03017	FBgn0000250
A1Z898	FBgn0033526
Q8MS69	FBgn0031832
Q9VAR6	FBgn0039617
Q9W525	FBgn0040395
P22812	FBgn0003882
P62152	FBgn0000253
Q9XTL2	FBgn0027363
O46339	FBgn0001235
Q8IRJ7	FBgn0035111
Q9XYN7	FBgn0026380
Q9VFJ3	FBgn0038233
P21519	FBgn0002643
Q8IPW3	FBgn0051658
Q1WWH6	FBgn0020299
A1ZAW0	FBgn0034246
Q9VTZ1	FBgn0020388
Q9VCG6	FBgn0039124
P00528	FBgn0262733
Q9XZ57	FBgn0027066
O77284	FBgn0265598
P25159	FBgn0003520
Q9W4X9	FBgn0004643
A8JRE3	FBgn0010328
Q24169	FBgn0015271
Q7KU01	FBgn0053526
P54631	FBgn0005590
Q9V3G7	FBgn0028688
Q8ST83	FBgn0002521
Q9VBI1	FBgn0039403
P46867	FBgn0004381
Q00963	FBgn0250788
Q9VR09	FBgn0031613
Q8SWR8	FBgn0041188
Q24007	FBgn0013272
Q7K2L1	FBgn0005654
Q7K148	FBgn0029134
Q01071	FBgn0002734
Q9VGF9	FBgn0000147
Q9U5W9	FBgn0028398
E1JIM0	FBgn0262527
Q7KMG7	FBgn0028434
Q9VAC8	FBgn0039731
Q8T0S6	FBgn0261456
Q27607	FBgn0004406
Q01842	FBgn0000097
Q9VVA7	FBgn0036666
P24014	FBgn0264089
O46036	FBgn0020496
Q95083	FBgn0016697
Q24564	FBgn0086384
Q24475	FBgn0011706
P15364	FBgn0000071
A1Z9P3	FBgn0085408
Q9V460	FBgn0040273
P11420	FBgn0267821
Q9VTZ0	FBgn0041775
X2J8X8	FBgn0040823
Q01070	FBgn0002735
Q9VGS2	FBgn0037874
