dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000723,FER,C,,flybase
110,7227,FBgn0000724,fr,C,,flybase
110,7227,FBgn0000726,Frd,E,,flybase
110,7227,FBgn0000727,frh,E,,flybase
110,7227,FBgn0000733,fs(1)42,NE,,flybase
110,7227,FBgn0000738,fs(1)A99,E,,flybase
110,7227,FBgn0000739,fs(1)A117,E,,flybase
110,7227,FBgn0000740,fs(1)A120,E,,flybase
110,7227,FBgn0000743,fs(1)A214,E,,flybase
110,7227,FBgn0000747,fs(1)A330,E,,flybase
110,7227,FBgn0000748,fs(1)A331,E,,flybase
110,7227,FBgn0000751,fs(1)A383,E,,flybase
110,7227,FBgn0000753,fs(1)A426,E,,flybase
110,7227,FBgn0000755,fs(1)A436,E,,flybase
110,7227,FBgn0000760,fs(1)A475,E,,flybase
110,7227,FBgn0000761,fs(1)A476,E,,flybase
110,7227,FBgn0000764,fs(1)A572,E,,flybase
110,7227,FBgn0000766,fs(1)A1010,E,,flybase
110,7227,FBgn0000767,fs(1)A1024,E,,flybase
110,7227,FBgn0000768,fs(1)A1042,E,,flybase
110,7227,FBgn0000770,fs(1)A1074,E,,flybase
110,7227,FBgn0000771,fs(1)A1140,E,,flybase
110,7227,FBgn0000773,fs(1)A1187,E,,flybase
110,7227,FBgn0000774,fs(1)A1242,E,,flybase
110,7227,FBgn0000775,fs(1)A1245,E,,flybase
110,7227,FBgn0000778,fs(1)A1371,E,,flybase
110,7227,FBgn0000779,fs(1)A1459,E,,flybase
110,7227,FBgn0000780,fs(1)A1509,E,,flybase
110,7227,FBgn0000782,fs(1)A1528,E,,flybase
110,7227,FBgn0000783,fs(1)A1559,E,,flybase
110,7227,FBgn0000785,fs(1)A1578,E,,flybase
110,7227,FBgn0000808,gd,C,,flybase
110,7227,FBgn0000810,fs(1)K10,E,,flybase
110,7227,FBgn0000811,fs(1)K79,E,,flybase
110,7227,FBgn0000813,fs(1)K163,E,,flybase
110,7227,FBgn0000814,fs(1)K254,E,,flybase
110,7227,FBgn0000824,fs(1)K1563,NE,,flybase
