ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
136267,173,83333,b3727,,,NE,,16738554
136268,173,83333,b3726,,,NE,,16738554
136269,173,83333,b3725,,,NE,,16738554
136270,173,83333,b3724,,,NE,,16738554
136271,173,83333,b3723,,,NE,,16738554
136272,173,83333,b3722,,,NE,,16738554
136273,173,83333,b3721,,,NE,,16738554
136274,173,83333,b3720,,,NE,,16738554
136275,173,83333,b3719,,,NE,,16738554
136276,173,83333,b3718,,,NE,,16738554
136277,173,83333,b3717,,,NE,,16738554
136278,173,83333,b3716,,,NE,,16738554
136279,173,83333,b3715,,,NE,,16738554
136280,173,83333,b3714,,,NE,,16738554
136281,173,83333,b3713,,,NE,,16738554
136282,173,83333,b3712,,,NE,,16738554
136283,173,83333,b3711,,,NE,,16738554
136284,173,83333,b3710,,,NE,,16738554
136285,173,83333,b3709,,,E,,16738554
136286,173,83333,b3708,,,NE,,16738554
136287,173,83333,b3707,,,NE,,16738554
136288,173,83333,b3706,,,NE,,16738554
136289,173,83333,b3705,,,E,,16738554
136290,173,83333,b3704,,,E,,16738554
136291,173,83333,b3703,,,E,,16738554
136292,173,83333,b3702,,,E,,16738554
136293,173,83333,b3701,,,E,,16738554
136294,173,83333,b3700,,,NE,,16738554
136295,173,83333,b3699,,,E,,16738554
136296,173,83333,b3698,,,NE,,16738554
136297,173,83333,b3697,,,NE,,16738554
136298,173,83333,b3696,,,NE,,16738554
136299,173,83333,b3693,,,NE,,16738554
136300,173,83333,b3691,,,NE,,16738554
136301,173,83333,b3690,,,NE,,16738554
136302,173,83333,b3689,,,NE,,16738554
136303,173,83333,b3688,,,NE,,16738554
136304,173,83333,b3687,,,NE,,16738554
136305,173,83333,b3686,,,NE,,16738554
136306,173,83333,b3685,,,NE,,16738554
136307,173,83333,b3684,,,NE,,16738554
136308,173,83333,b3683,,,NE,,16738554
136309,173,83333,b3682,,,NE,,16738554
136310,173,83333,b3681,,,NE,,16738554
136311,173,83333,b3680,,,NE,,16738554
136312,173,83333,b3679,,,NE,,16738554
136313,173,83333,b3678,,,NE,,16738554
136314,173,83333,b3677,,,NE,,16738554
136315,173,83333,b3676,,,NE,,16738554
136316,173,83333,b3675,,,NE,,16738554
136317,173,83333,b3674,,,NE,,16738554
136318,173,83333,b3673,,,NE,,16738554
136319,173,83333,b3672,,,NE,,16738554
136320,173,83333,b3671,,,NE,,16738554
136321,173,83333,b3670,,,NE,,16738554
136322,173,83333,b3669,,,NE,,16738554
136323,173,83333,b3668,,,NE,,16738554
136324,173,83333,b3667,,,NE,,16738554
136325,173,83333,b3666,,,NE,,16738554
136326,173,83333,b3665,,,NE,,16738554
136327,173,83333,b3664,,,NE,,16738554
136328,173,83333,b3663,,,NE,,16738554
136329,173,83333,b3662,,,NE,,16738554
136330,173,83333,b3661,,,NE,,16738554
136331,173,83333,b3660,,,NE,,16738554
136332,173,83333,b3659,,,NE,,16738554
136333,173,83333,b3657,,,NE,,16738554
136334,173,83333,b3656,,,NE,,16738554
136335,173,83333,b3655,,,NE,,16738554
136336,173,83333,b3654,,,NE,,16738554
136337,173,83333,b3653,,,NE,,16738554
136338,173,83333,b3652,,,NE,,16738554
136339,173,83333,b3651,,,NE,,16738554
136340,173,83333,b3650,,,E,,16738554
136341,173,83333,b3649,,,NE,,16738554
136342,173,83333,b3648,,,E,,16738554
136343,173,83333,b3647,,,NE,,16738554
136344,173,83333,b3646,,,NE,,16738554
136345,173,83333,b3645,,,NE,,16738554
136346,173,83333,b3644,,,NE,,16738554
136347,173,83333,b3643,,,NE,,16738554
136348,173,83333,b3642,,,NE,,16738554
136349,173,83333,b3641,,,NE,,16738554
136350,173,83333,b3640,,,E,,16738554
136351,173,83333,b3639,,,E,,16738554
136352,173,83333,b3638,,,NE,,16738554
136353,173,83333,b3637,,,E,,16738554
136354,173,83333,b3636,,,NE,,16738554
136355,173,83333,b3635,,,NE,,16738554
136356,173,83333,b3634,,,E,,16738554
136357,173,83333,b3633,,,E,,16738554
136358,173,83333,b3632,,,NE,,16738554
136359,173,83333,b3631,,,NE,,16738554
136360,173,83333,b3630,,,NE,,16738554
136361,173,83333,b3629,,,NE,,16738554
136362,173,83333,b3628,,,NE,,16738554
136363,173,83333,b3627,,,NE,,16738554
136364,173,83333,b3626,,,NE,,16738554
136365,173,83333,b3625,,,NE,,16738554
136366,173,83333,b3624,,,NE,,16738554
136367,173,83333,b3623,,,E,,16738554
136368,173,83333,b3622,,,NE,,16738554
136369,173,83333,b3621,,,NE,,16738554
136370,173,83333,b3620,,,NE,,16738554
136371,173,83333,b3619,,,NE,,16738554
136372,173,83333,b3618,,,NE,,16738554
136373,173,83333,b3617,,,NE,,16738554
136374,173,83333,b3616,,,NE,,16738554
136375,173,83333,b3615,,,NE,,16738554
136376,173,83333,b3614,,,NE,,16738554
136377,173,83333,b3613,,,NE,,16738554
136378,173,83333,b3612,,,NE,,16738554
136379,173,83333,b3611,,,NE,,16738554
136380,173,83333,b3610,,,NE,,16738554
136381,173,83333,b3609,,,NE,,16738554
136382,173,83333,b3608,,,E,,16738554
136383,173,83333,b3607,,,NE,,16738554
136384,173,83333,b3606,,,NE,,16738554
136385,173,83333,b3605,,,NE,,16738554
136386,173,83333,b3604,,,NE,,16738554
136387,173,83333,b3603,,,NE,,16738554
136388,173,83333,b3602,,,NE,,16738554
136389,173,83333,b3601,,,NE,,16738554
136390,173,83333,b3600,,,NE,,16738554
136391,173,83333,b3599,,,NE,,16738554
136392,173,83333,b3598,,,NE,,16738554
136393,173,83333,b3597,,,NE,,16738554
136394,173,83333,b3596,,,NE,,16738554
136395,173,83333,b3595,,,E,,16738554
136396,173,83333,b3594,,,NE,,16738554
136397,173,83333,b3593,,,NE,,16738554
136398,173,83333,b3592,,,NE,,16738554
136399,173,83333,b3591,,,NE,,16738554
136400,173,83333,b3590,,,NE,,16738554
136401,173,83333,b3589,,,NE,,16738554
136402,173,83333,b3588,,,NE,,16738554
136403,173,83333,b3587,,,NE,,16738554
136404,173,83333,b3586,,,NE,,16738554
136405,173,83333,b3585,,,NE,,16738554
136406,173,83333,b3584,,,NE,,16738554
136407,173,83333,b3583,,,NE,,16738554
136408,173,83333,b3582,,,NE,,16738554
136409,173,83333,b3581,,,NE,,16738554
136410,173,83333,b3580,,,NE,,16738554
