T2AH_DROME	FBgn0040338
ROA1_DROME	FBgn0001215
A4V3J5_DROME	FBgn0001215
A4V3J6_DROME	FBgn0001215
M9PEV2_DROME	FBgn0035953
Q9VSS9_DROME	FBgn0035953
Y4443_DROME	FBgn0029880
SNMP1_DROME	FBgn0260004
A0A0B4KGL9_DROME	FBgn0260004
A8DQW8_DROME	FBgn0261016
Q9VJE3_DROME	FBgn0032635
Q9VIU8_DROME	FBgn0032798
E1JH75_DROME	FBgn0260429
Q0KI27_DROME	FBgn0083985
COX2_DROME	FBgn0013675
NXF1_DROME	FBgn0003321
U2AF2_DROME	FBgn0005411
M9NDZ4_DROME	FBgn0005411
M9NF89_DROME	FBgn0005411
M9NH51_DROME	FBgn0005411
Q7JWU2_DROME	FBgn0033680
