Q9VGY0	FBgn0037827
Q8T908	FBgn0028893
P09615	FBgn0284084
Q7JY26	FBgn0034363
A1ZBU9	FBgn0034513
Q9VJZ6	FBgn0032509
Q960E9	FBgn0052452
Q8MSG8	FBgn0038704
P48810	FBgn0004237
Q9VV40	FBgn0036614
Q9VGE5	FBgn0037978
P42787	FBgn0004648
Q9VYU9	FBgn0030332
P20483	FBgn0003525
Q8IQJ5	FBgn0052121
Q7JW27	FBgn0033692
Q9VI25	FBgn0037447
Q9W3D3	FBgn0025864
Q9VU21	FBgn0036320
Q9VS50	FBgn0035766
O16829	FBgn0000279
Q24567	FBgn0015773
Q9W5B3	FBgn0040368
Q9VLG3	FBgn0032082
Q7K4B3	FBgn0033540
Q8T0U2	FBgn0034144
Q2PE13	FBgn0265193
Q9VFB6	FBgn0038304
Q7JVZ8	FBgn0034354
P19351	FBgn0004169
Q8MSC4	FBgn0038252
Q9VT28	FBgn0016081
Q9VU02	FBgn0261933
Q9VLP3	FBgn0032020
O96827	FBgn0028737
P25008	FBgn0004597
Q9W2D9	FBgn0034654
Q9VNP2	FBgn0262509
Q8T913	FBgn0037781
Q6NP60	FBgn0037153
P09775	FBgn0000137
Q9VQ62	FBgn0031381
Q9VG06	FBgn0038107
Q9VTE0	FBgn0036118
O02194	FBgn0284421
Q9VB25	FBgn0004387
Q9VQS7	FBgn0004892
Q9VFX6	FBgn0038129
Q95RX5	FBgn0037655
Q9VYZ8	FBgn0287454
Q9VUM0	FBgn0036486
Q9V4C6	FBgn0039902
O77459	FBgn0011236
Q9VL93	FBgn0032140
Q4V5L1	FBgn0034461
Q9VDT3	FBgn0038740
Q9W083	FBgn0035273
Q9V9Z1	FBgn0039835
Q8SZ38	FBgn0035257
Q9VVS4	FBgn0036811
Q01604	FBgn0250906
Q9W0N4	FBgn0035158
Q9VXR5	FBgn0030672
Q9VLD7	FBgn0032104
A8WH76	FBgn0259918
Q9W1F8	FBgn0034935
Q9W0S7	FBgn0035121
Q9VUD8	FBgn0036416
Q9VEV3	FBgn0038428
Q9VGV6	FBgn0037845
P11956	FBgn0002869
P17719	FBgn0004087
Q9VTB8	FBgn0026160
Q7K1H5	FBgn0034000
Q9V3U6	FBgn0250848
Q9VX09	FBgn0030877
O61674	FBgn0000633
Q05192	FBgn0261239
Q8SWW2	FBgn0033665
Q9VMX0	FBgn0031660
A1ZAJ8	FBgn0034160
P09774	FBgn0002561
Q9W3R6	FBgn0029944
Q9W510	FBgn0029603
P16568	FBgn0000183
Q9VSQ7	FBgn0035933
Q9VTH5	FBgn0036152
Q9I7H8	FBgn0042111
Q9VCA8	FBgn0043884
Q9VV19	FBgn0036595
Q9VJR9	FBgn0028838
Q9VTT4	FBgn0036249
Q9VBW6	FBgn0039286
Q9W3U9	FBgn0029915
Q7JUY7	FBgn0029092
Q9BIS2	FBgn0013278
Q06943	FBgn0010228
Q9XZS6	FBgn0025836
Q9W1I8	FBgn0034913
Q9VPD9	FBgn0037004
Q9I7L6	FBgn0032911
Q9VCT6	FBgn0039028
Q0E9G3	FBgn0033224
Q9VAU9	FBgn0026400
Q9VQR9	FBgn0031544
Q9VMC6	FBgn0031824
Q8MSF5	FBgn0262116
Q9VM65	FBgn0031871
Q9VAC8	FBgn0039731
A1Z8G2	FBgn0033588
Q9V5C6	FBgn0023175
Q9VRJ7	FBgn0035591
Q9V4F4	FBgn0026199
Q9V3G3	FBgn0028382
Q0E8Y8	FBgn0243516
O46339	FBgn0001235
Q9VPJ6	FBgn0031219
Q9VE50	FBgn0044871
A1Z7I2	FBgn0033326
Q9VX17	FBgn0030870
Q9Y104	FBgn0027544
Q961H2	FBgn0050344
Q9VLP6	FBgn0032017
Q9VW45	FBgn0036911
Q960X8	FBgn0031450
Q7KHK9	FBgn0033051
Q8MRM0	FBgn0030484
Q9VWD0	FBgn0052528
Q9VC48	FBgn0039219
Q9VID9	FBgn0026577
P25160	FBgn0000115
Q9VW84	FBgn0036942
Q9VM89	FBgn0031856
Q9VPJ1	FBgn0026787
P49071	FBgn0013987
Q9VHJ4	FBgn0037647
P16914	FBgn0260400
Q9VD71	FBgn0038909
Q9VMM3	FBgn0031740
Q9VC08	FBgn0039250
Q9W0J2	FBgn0264272
Q9VT65	FBgn0025866
Q9V4A7	FBgn0025740
Q9VVI0	FBgn0036733
Q9VW25	FBgn0036897
Q9VRI3	FBgn0031178
Q24212	FBgn0016975
Q9VFM3	FBgn0038209
Q9VMK2	FBgn0031756
Q9TVQ5	FBgn0028683
C5WLM7	FBgn0050414
Q9VN14	FBgn0037240
Q9V9U3	FBgn0022349
Q8SYP9	FBgn0287187
Q7JWE2	FBgn0261989
P18489	FBgn0003660
Q9VVU6	FBgn0036828
Q9VVG4	FBgn0266669
Q9VAW8	FBgn0002865
Q8IR42	FBgn0260006
Q960Q8	FBgn0035027
P21663	FBgn0000094
Q9W5G1	FBgn0266572
Q24573	FBgn0004795
P07185	FBgn0000355
Q24298	FBgn0003391
Q9VZ61	FBgn0030242
Q9VS78	FBgn0035790
Q9VTA5	FBgn0036091
Q0E8K8	FBgn0035103
Q9VUL8	FBgn0036484
Q9VLT5	FBgn0011230
Q9W4M7	FBgn0026083
Q9VXG4	FBgn0030749
P10083	FBgn0000022
Q9VCE6	FBgn0039139
Q9VU15	FBgn0036314
Q9VB05	FBgn0086346
Q7K4G8	FBgn0033581
Q9VQW6	FBgn0264296
Q9V447	FBgn0266449
Q9W2E1	FBgn0050263
Q9VVI1	FBgn0036734
Q9V9L1	FBgn0033065
Q7K4C7	FBgn0041342
Q9VSA9	FBgn0035817
Q9VZH2	FBgn0011653
Q9W1V3	FBgn0003062
Q95TY2	FBgn0033654
Q9VLU3	FBgn0031974
O61491	FBgn0024754
Q7JWM4	FBgn0033590
Q45VV3	FBgn0034970
Q9VPE4	FBgn0036998
Q9VJD1	FBgn0032643
Q9V3R3	FBgn0040346
Q24185	FBgn0001202
A1ZB19	FBgn0034290
O76901	FBgn0025382
Q9VP67	FBgn0037059
P22807	FBgn0002941
Q9VP02	FBgn0043783
Q9VBY7	FBgn0039269
Q9VHW0	FBgn0037547
Q9VFA3	FBgn0038311
Q9VK23	FBgn0032483
Q8SWU7	FBgn0030151
Q9VWK7	FBgn0030996
Q05913	FBgn0010282
Q7JR34	FBgn0053144
A1Z9E2	FBgn0033846
P10181	FBgn0003267
P54631	FBgn0005590
Q9VXB4	FBgn0030787
Q9W4Z9	FBgn0023527
Q7KNS5	FBgn0022987
Q9VAU5	FBgn0039590
P48591	FBgn0011703
Q9V3B6	FBgn0040235
Q94524	FBgn0024432
Q9W3R7	FBgn0029943
Q9VVV3	FBgn0036835
Q9W3X6	FBgn0286222
Q7JUZ9	FBgn0263240
Q9VKY2	FBgn0027568
Q9VGD8	FBgn0037985
P29555	FBgn0000014
Q9VXG6	FBgn0030747
P11996	FBgn0002563
Q8IP51	FBgn0261563
Q9VXY9	FBgn0264389
Q9VN39	FBgn0037261
Q9VSJ8	FBgn0266667
Q9VAC1	FBgn0039737
Q9V9S9	FBgn0039882
Q9VW82	FBgn0036941
Q9W4I3	FBgn0029718
Q9VAQ9	FBgn0041780
Q9VA10	FBgn0039821
Q9VKU4	FBgn0032260
Q9W470	FBgn0029812
Q7JWR4	FBgn0033781
Q9VB13	FBgn0266579
Q9VNH6	FBgn0266672
Q9VAD5	FBgn0260759
Q9VLS9	FBgn0031987
Q9VT14	FBgn0036014
P46150	FBgn0011661
Q9VNP7	FBgn0037203
Q8WSF3	FBgn0045063
Q9VCK0	FBgn0040227
Q24371	FBgn0013548
Q9VYQ3	FBgn0030370
Q0E9B6	FBgn0033699
P35381	FBgn0011211
Q9VX62	FBgn0030834
Q9VBP9	FBgn0039348
Q9VP44	FBgn0037076
Q8SXJ8	FBgn0040010
Q7JRC3	FBgn0010053
A1Z8X0	FBgn0033715
Q9VJY6	FBgn0032518
Q9VES6	FBgn0038450
Q7YTY6	FBgn0028988
Q9VUI0	FBgn0001120
Q9VMG6	FBgn0031786
Q9VNZ7	FBgn0037117
Q9V3E9	FBgn0015544
Q7KW14	FBgn0023531
P41046	FBgn0010313
A1Z9J6	FBgn0050481
A8Y5B0	FBgn0039945
Q9V3G9	FBgn0040371
O76767	FBgn0267330
Q9VJ23	FBgn0032734
Q9VAF4	FBgn0039710
Q9VL29	FBgn0085188
Q9W0K0	FBgn0040281
Q8IRM9	FBgn0052706
P35122	FBgn0010288
Q9W4X9	FBgn0004643
Q9V9Z3	FBgn0051005
Q7KMQ0	FBgn0028687
Q9VMJ7	FBgn0031759
Q9XZ63	FBgn0027095
Q9VYH3	FBgn0030447
Q9V9P1	FBgn0032972
Q7YZ91	FBgn0037921
Q9V415	FBgn0028475
Q9VMD4	FBgn0031816
P33438	FBgn0001114
Q9VU68	FBgn0260049
Q9VGH7	FBgn0051116
Q8IPJ8	FBgn0051639
Q9VFC0	FBgn0038300
Q9NHA8	FBgn0040321
Q9VT00	FBgn0036004
Q9VBQ5	FBgn0039341
Q9VDR4	FBgn0051213
Q9W2K2	FBgn0261067
Q9XZ22	FBgn0027521
Q7JYP4	FBgn0032291
Q7KUL3	FBgn0036441
Q9VL59	FBgn0032169
Q9V9V8	FBgn0039860
Q24139	FBgn0010105
Q9VKH6	FBgn0032358
Q9VNV2	FBgn0037156
Q9VS52	FBgn0035768
Q9VIY9	FBgn0032763
Q9VM93	FBgn0046704
Q7JWN2	FBgn0033721
Q9VF34	FBgn0038365
Q95TP0	FBgn0051961
Q9V9R2	FBgn0032956
Q9VQW1	FBgn0051774
Q8SYG2	FBgn0027055
Q9VYX0	FBgn0030316
Q9VNG0	FBgn0037359
Q0E8T7	FBgn0083960
Q9VMS5	FBgn0031696
Q8SY61	FBgn0034470
Q9UAE7	FBgn0023179
Q9W2T1	FBgn0263072
Q9W4N8	FBgn0029687
P54351	FBgn0266464
Q9VS26	FBgn0040837
Q9VI34	FBgn0037456
A9UN61	FBgn0032127
Q9VIY3	FBgn0032768
Q9VBQ3	FBgn0039343
Q9VXU8	FBgn0026433
Q9VFB9	FBgn0038301
Q9VRN0	FBgn0035621
Q9VSV3	FBgn0035970
Q03043	FBgn0000721
Q9VZE8	FBgn0035522
Q9VLR0	FBgn0032004
Q9VIU7	FBgn0032799
Q02361	FBgn0004896
Q9VMP0	FBgn0031724
P92177	FBgn0020238
P09208	FBgn0283499
Q9VRJ4	FBgn0035588
A1ZBT5	FBgn0034503
Q9VYE0	FBgn0030477
P18168	FBgn0004197
Q7K0V7	FBgn0033337
Q9W0G7	FBgn0035209
Q9V3K5	FBgn0028870
O97067	FBgn0026566
Q9VLU5	FBgn0031972
Q9VWS7	FBgn0030938
Q9VSK8	FBgn0035900
Q9VH45	FBgn0037773
Q9VF94	FBgn0038315
Q7K3E9	FBgn0033616
Q9VTJ5	FBgn0036170
Q9VXD6	FBgn0030768
Q8T9B6	FBgn0004132
Q9VFE4	FBgn0038277
Q9VT49	FBgn0036044
Q9VZG2	FBgn0035510
Q9W0V5	FBgn0035097
Q9W381	FBgn0040467
Q9VDE6	FBgn0266674
Q02748	FBgn0001942
Q9VXK9	FBgn0030716
Q00637	FBgn0010213
Q9VT01	FBgn0036005
Q9W064	FBgn0261723
Q4V6L4	FBgn0033999
Q9VEX9	FBgn0024491
Q7JZ56	FBgn0033656
Q9VZ62	FBgn0030241
Q9VAQ1	FBgn0039631
Q9VXT3	FBgn0030657
Q9VN73	FBgn0037290
P08111	FBgn0002121
Q9VAP3	FBgn0039637
Q7K0L2	FBgn0030114
Q9W3X3	FBgn0029892
Q9VBX4	FBgn0051510
